product_id,color,image,money,name,brand_id,category_id
1,white,https://deichmann.scene7.com/asset/deichmann/US_01_600855_01?$rr_main$&defaultImage=default_obs,75,"ADIDAS MENS RACER TR21 SNEAKER",1,1
2,black,https://deichmann.scene7.com/asset/deichmann/US_01_600625_01?$rr_main$&defaultImage=default_obs,75,"ADIDAS MENS RACER TR21 SNEAKER",1,1
3,grey,https://deichmann.scene7.com/asset/deichmann/US_01_601154_01?$rr_main$&defaultImage=default_obs,90,"ADIDAS MENS KAPTIR 2.0 SNEAKER",1,1
4,black,https://deichmann.scene7.com/asset/deichmann/US_01_601155_01?$rr_main$&defaultImage=default_obs,90,"ADIDAS MENS KAPTIR 2.0 SNEAKER",1,1
5,black,https://deichmann.scene7.com/asset/deichmann/US_01_601159_01?$rr_main$&defaultImage=default_obs,70,"ADIDAS MENS LITE RACER ADAPT 5.0",1,1
6,olive,https://deichmann.scene7.com/asset/deichmann/US_01_601034_01?$rr_main$&defaultImage=default_obs,70,"ADIDAS MENS LITE RACER ADAPT 5.0 SNEAKER",1,1
7,white,https://deichmann.scene7.com/asset/deichmann/US_01_600856_01?$rr_main$&defaultImage=default_obs,70,"ADIDAS MENS LITE RACER ADAPT 5.0 SNEAKER",1,1
8,white,https://deichmann.scene7.com/asset/deichmann/US_01_600868_01?$rr_main$&defaultImage=default_obs,70,"ADIDAS MENS HOOPS 3.0 MID SNEAKER",1,1
9,black,https://deichmann.scene7.com/asset/deichmann/US_01_600493_01?$rr_main$&defaultImage=default_obs,70,"ADIDAS MENS HOOPS 3.0 MID SNEAKER",1,1
10,grey,https://deichmann.scene7.com/asset/deichmann/US_01_600478_01?$rr_main$&defaultImage=default_obs,80,"ADIDAS MENS POSTMOVE MID TOP SNEAKER",1,1
11,black,https://deichmann.scene7.com/asset/deichmann/US_01_600343_01?$rr_main$&defaultImage=default_obs,80,"ADIDAS MENS POSTMOVE MID TOP SNEAKER",1,1
12,white,https://deichmann.scene7.com/asset/deichmann/US_01_401214_01?$rr_main$&defaultImage=default_obs,75,"ADIDAS WOMENS POSTMOVE SE LOW SNEAKER",1,2
13,white,https://deichmann.scene7.com/asset/deichmann/US_01_401213_01?$rr_main$&defaultImage=default_obs,70,"ADIDAS WOMENS GRAND COURT 2.0 SNEAKER",1,2
14,silver,https://deichmann.scene7.com/asset/deichmann/US_01_401059_01?$rr_main$&defaultImage=default_obs,80,"ADIDAS WOMENS QUESTAR RUNNING SHOE",1,2
15,red,https://deichmann.scene7.com/asset/deichmann/US_01_400777_01?$rr_main$&defaultImage=default_obs,80,"ADIDAS WOMENS QUESTAR RUNNING SHOE",1,2
16,multicolor,https://deichmann.scene7.com/asset/deichmann/US_01_401198_01?$rr_main$&defaultImage=default_obs,75,"ADIDAS WOMENS RESPONSE RUNNING SHOE",1,2
17,black,https://deichmann.scene7.com/asset/deichmann/US_01_401194_01?$rr_main$&defaultImage=default_obs,90,"ADIDAS WOMENS RESPONSE SUPER 3.0 RUNNING SHOE",1,2
18,white,https://deichmann.scene7.com/asset/deichmann/US_01_401193_01?$rr_main$&defaultImage=default_obs,90,"ADIDAS WOMENS RESPONSE SUPER 3.0 RUNNING SHOE",1,2
